Grid_ID,Center_Lng,Center_Lat,Polygon,充电站_数量,住宅小区_数量,写字楼_数量,购物中心_数量,餐饮服务_数量,住宿服务_数量,医疗保健_数量,科教文化_数量,政府机构_数量,体育休闲_数量,交通枢纽_数量,停车场_数量
75,112.485,37.895,"112.480000,37.890000|112.490000,37.900000",0,2,0,0,24,2,1,1,6,3,0,7
76,112.485,37.905,"112.480000,37.900000|112.490000,37.910000",0,0,0,0,0,0,0,1,0,1,0,0
77,112.485,37.915,"112.480000,37.910000|112.490000,37.920000",0,2,0,0,0,1,0,0,0,1,0,0
78,112.485,37.925,"112.480000,37.920000|112.490000,37.930000",0,2,0,0,1,0,0,1,1,1,0,0
79,112.485,37.935,"112.480000,37.930000|112.490000,37.940000",2,19,0,0,7,3,3,6,43,4,0,16
80,112.485,37.945,"112.480000,37.940000|112.490000,37.950000",2,0,1,0,12,4,3,6,50,3,0,9
81,112.495,37.755,"112.490000,37.750000|112.500000,37.760000",1,0,0,0,0,0,0,0,0,2,0,1
82,112.495,37.765,"112.490000,37.760000|112.500000,37.770000",0,4,0,0,1,0,3,0,0,0,0,2
83,112.495,37.775,"112.490000,37.770000|112.500000,37.780000",0,10,1,0,3,0,0,6,5,0,0,1
84,112.495,37.785,"112.490000,37.780000|112.500000,37.790000",1,5,0,0,9,2,3,4,15,1,0,3
85,112.495,37.795,"112.490000,37.790000|112.500000,37.800000",2,0,0,0,16,3,1,12,1,1,0,7
86,112.495,37.805,"112.490000,37.800000|112.500000,37.810000",3,7,1,0,36,7,13,17,9,12,0,8
87,112.495,37.815,"112.490000,37.810000|112.500000,37.820000",2,4,1,0,21,7,10,14,12,7,0,15
88,112.495,37.825,"112.490000,37.820000|112.500000,37.830000",3,0,0,0,4,1,8,3,4,6,0,10
89,112.495,37.835,"112.490000,37.830000|112.500000,37.840000",1,8,1,0,78,18,26,32,3,8,0,13
90,112.495,37.845,"112.490000,37.840000|112.500000,37.850000",0,9,0,0,22,3,10,25,14,10,0,18
91,112.495,37.855,"112.490000,37.850000|112.500000,37.860000",2,21,2,0,164,15,48,47,20,26,0,46
92,112.495,37.865,"112.490000,37.860000|112.500000,37.870000",3,26,4,0,59,1,31,16,31,9,0,29
93,112.495,37.875,"112.490000,37.870000|112.500000,37.880000",4,6,1,0,44,3,0,41,4,10,1,6
94,112.495,37.885,"112.490000,37.880000|112.500000,37.890000",4,11,0,0,48,4,13,3,17,5,0,14
95,112.495,37.895,"112.490000,37.890000|112.500000,37.900000",1,4,1,0,25,1,11,7,7,2,0,8
96,112.495,37.905,"112.490000,37.900000|112.500000,37.910000",2,4,0,0,39,1,2,0,4,1,0,3
97,112.495,37.915,"112.490000,37.910000|112.500000,37.920000",3,10,1,0,39,14,17,5,12,4,1,9
98,112.495,37.925,"112.490000,37.920000|112.500000,37.930000",3,9,0,0,13,1,13,8,6,5,0,4
99,112.495,37.935,"112.490000,37.930000|112.500000,37.940000",3,16,0,0,34,6,16,12,60,6,0,8
100,112.495,37.945,"112.490000,37.940000|112.500000,37.950000",0,4,0,0,15,0,11,3,3,3,0,4
101,112.505,37.755,"112.500000,37.750000|112.510000,37.760000",0,0,0,0,0,0,0,1,0,0,0,3
104,112.505,37.785,"112.500000,37.780000|112.510000,37.790000",1,0,0,0,0,0,0,1,0,5,0,1
105,112.505,37.795,"112.500000,37.790000|112.510000,37.800000",0,8,0,0,50,1,6,14,10,9,0,23
106,112.505,37.805,"112.500000,37.800000|112.510000,37.810000",2,11,5,0,171,33,55,37,21,39,0,39
107,112.505,37.815,"112.500000,37.810000|112.510000,37.820000",1,41,2,1,234,7,87,49,34,21,0,31
108,112.505,37.825,"112.500000,37.820000|112.510000,37.830000",1,34,3,0,222,30,109,65,19,42,0,55
109,112.505,37.835,"112.500000,37.830000|112.510000,37.840000",3,26,0,1,171,17,70,59,22,42,0,34
110,112.505,37.845,"112.500000,37.840000|112.510000,37.850000",0,13,2,0,14,3,7,14,12,3,0,10
111,112.505,37.855,"112.500000,37.850000|112.510000,37.860000",2,40,9,3,393,118,95,66,51,113,0,75
112,112.505,37.865,"112.500000,37.860000|112.510000,37.870000",3,40,2,0,171,13,69,24,46,26,0,47
113,112.505,37.875,"112.500000,37.870000|112.510000,37.880000",0,10,1,0,33,2,19,6,13,5,0,7
114,112.505,37.885,"112.500000,37.880000|112.510000,37.890000",5,11,2,0,38,6,15,10,10,9,0,23
115,112.505,37.895,"112.500000,37.890000|112.510000,37.900000",4,8,3,0,15,5,11,5,26,2,0,21
116,112.505,37.905,"112.500000,37.900000|112.510000,37.910000",3,6,0,1,59,3,4,6,6,10,0,14
117,112.505,37.915,"112.500000,37.910000|112.510000,37.920000",1,6,1,0,17,3,17,5,3,4,0,13
118,112.505,37.925,"112.500000,37.920000|112.510000,37.930000",5,7,1,1,194,1,58,25,13,43,0,45
119,112.505,37.935,"112.500000,37.930000|112.510000,37.940000",0,9,0,0,8,2,5,3,6,1,0,8
120,112.505,37.945,"112.500000,37.940000|112.510000,37.950000",0,1,0,0,0,0,1,0,1,1,0,0
121,112.515,37.755,"112.510000,37.750000|112.520000,37.760000",2,1,0,1,22,0,0,4,1,8,0,12
122,112.515,37.765,"112.510000,37.760000|112.520000,37.770000",0,0,0,0,0,0,0,1,0,1,0,3
123,112.515,37.775,"112.510000,37.770000|112.520000,37.780000",0,0,0,0,0,0,0,1,0,0,0,7
124,112.515,37.785,"112.510000,37.780000|112.520000,37.790000",0,2,0,0,2,1,0,2,0,2,0,1
125,112.515,37.795,"112.510000,37.790000|112.520000,37.800000",1,12,2,1,86,34,37,35,13,28,0,34
126,112.515,37.805,"112.510000,37.800000|112.520000,37.810000",6,13,2,0,142,18,17,12,11,16,0,40
127,112.515,37.815,"112.510000,37.810000|112.520000,37.820000",3,25,5,0,98,8,52,23,26,18,0,53
128,112.515,37.825,"112.510000,37.820000|112.520000,37.830000",0,21,3,2,344,73,94,48,33,57,0,61
129,112.515,37.835,"112.510000,37.830000|112.520000,37.840000",4,16,3,0,91,11,33,14,19,20,0,46
130,112.515,37.845,"112.510000,37.840000|112.520000,37.850000",3,32,5,4,240,13,109,27,42,49,0,80
131,112.515,37.855,"112.510000,37.850000|112.520000,37.860000",2,34,16,3,245,63,63,105,51,45,0,105
132,112.515,37.865,"112.510000,37.860000|112.520000,37.870000",2,35,6,1,162,16,46,55,67,21,0,103
133,112.515,37.875,"112.510000,37.870000|112.520000,37.880000",2,44,3,1,211,46,60,33,50,69,0,55
134,112.515,37.885,"112.510000,37.880000|112.520000,37.890000",3,31,8,0,170,9,64,31,51,19,0,58
135,112.515,37.895,"112.510000,37.890000|112.520000,37.900000",0,31,0,0,134,2,71,27,29,28,0,51
136,112.515,37.905,"112.510000,37.900000|112.520000,37.910000",5,11,1,0,94,1,19,15,14,10,0,31
137,112.515,37.915,"112.510000,37.910000|112.520000,37.920000",0,2,0,0,18,0,9,1,0,2,0,4
138,112.515,37.925,"112.510000,37.920000|112.520000,37.930000",0,0,0,0,2,0,0,1,2,3,0,2
139,112.515,37.935,"112.510000,37.930000|112.520000,37.940000",0,0,0,0,0,0,0,3,0,0,0,3
140,112.515,37.945,"112.510000,37.940000|112.520000,37.950000",0,0,0,0,1,0,0,1,9,3,0,6
141,112.525,37.755,"112.520000,37.750000|112.530000,37.760000",0,7,1,0,16,2,12,30,10,6,0,16
142,112.525,37.765,"112.520000,37.760000|112.530000,37.770000",8,10,2,0,113,37,33,13,18,17,0,37
143,112.525,37.775,"112.520000,37.770000|112.530000,37.780000",0,7,0,0,7,0,6,8,6,3,0,10
144,112.525,37.785,"112.520000,37.780000|112.530000,37.790000",2,12,0,0,50,6,28,16,5,15,0,27
145,112.525,37.795,"112.520000,37.790000|112.530000,37.800000",7,17,4,0,90,24,14,16,12,16,0,29
146,112.525,37.805,"112.520000,37.800000|112.530000,37.810000",4,11,12,1,386,142,80,63,62,106,0,104
147,112.525,37.815,"112.520000,37.810000|112.530000,37.820000",10,10,4,1,66,23,31,26,12,27,0,62
148,112.525,37.825,"112.520000,37.820000|112.530000,37.830000",2,12,0,0,55,8,17,12,15,14,0,53
149,112.525,37.835,"112.520000,37.830000|112.530000,37.840000",4,19,6,1,108,24,34,19,13,24,0,42
150,112.525,37.845,"112.520000,37.840000|112.530000,37.850000",4,30,6,1,110,12,49,40,30,28,0,38
151,112.525,37.855,"112.520000,37.850000|112.530000,37.860000",5,33,7,1,133,1,22,69,25,32,0,88
152,112.525,37.865,"112.520000,37.860000|112.530000,37.870000",0,29,3,0,97,20,33,39,41,23,0,42
153,112.525,37.875,"112.520000,37.870000|112.530000,37.880000",2,22,7,0,176,25,62,64,32,48,0,50
154,112.525,37.885,"112.520000,37.880000|112.530000,37.890000",6,32,10,3,222,29,78,49,19,41,0,74
155,112.525,37.895,"112.520000,37.890000|112.530000,37.900000",4,41,4,0,154,10,59,29,60,17,0,44
156,112.525,37.905,"112.520000,37.900000|112.530000,37.910000",1,6,0,0,3,2,5,8,4,1,0,7
157,112.525,37.915,"112.520000,37.910000|112.530000,37.920000",2,2,0,0,7,1,5,4,9,2,0,1
158,112.525,37.925,"112.520000,37.920000|112.530000,37.930000",0,12,1,3,111,4,51,27,7,24,0,27
159,112.525,37.935,"112.520000,37.930000|112.530000,37.940000",7,6,0,0,129,4,33,18,13,23,0,18
160,112.525,37.945,"112.520000,37.940000|112.530000,37.950000",0,3,0,0,16,2,4,2,11,2,0,9
161,112.535,37.755,"112.530000,37.750000|112.540000,37.760000",3,6,0,0,19,14,3,10,3,28,0,13
162,112.535,37.765,"112.530000,37.760000|112.540000,37.770000",1,2,0,0,21,4,10,3,0,8,0,6
163,112.535,37.775,"112.530000,37.770000|112.540000,37.780000",0,3,0,0,8,0,0,6,4,0,0,10
164,112.535,37.785,"112.530000,37.780000|112.540000,37.790000",0,6,0,0,33,3,20,17,6,10,0,29
165,112.535,37.795,"112.530000,37.790000|112.540000,37.800000",0,8,0,1,28,0,8,7,7,9,0,26
166,112.535,37.805,"112.530000,37.800000|112.540000,37.810000",13,1,9,3,65,25,15,32,12,41,0,43
167,112.535,37.815,"112.530000,37.810000|112.540000,37.820000",3,1,7,0,20,0,10,15,13,9,0,41
168,112.535,37.825,"112.530000,37.820000|112.540000,37.830000",2,18,2,1,62,5,27,19,28,23,0,74
169,112.535,37.835,"112.530000,37.830000|112.540000,37.840000",4,13,3,1,56,5,4,10,31,17,0,58
170,112.535,37.845,"112.530000,37.840000|112.540000,37.850000",2,8,1,1,46,2,33,7,23,14,0,37
171,112.535,37.855,"112.530000,37.850000|112.540000,37.860000",1,2,10,0,56,20,26,17,13,30,0,30
172,112.535,37.865,"112.530000,37.860000|112.540000,37.870000",4,7,2,0,9,4,3,11,11,2,0,38
173,112.535,37.875,"112.530000,37.870000|112.540000,37.880000",3,7,6,0,14,2,2,15,24,7,0,38
174,112.535,37.885,"112.530000,37.880000|112.540000,37.890000",0,5,3,0,11,2,11,15,10,11,0,15
175,112.535,37.895,"112.530000,37.890000|112.540000,37.900000",0,10,2,0,5,2,3,9,5,3,0,15
176,112.535,37.905,"112.530000,37.900000|112.540000,37.910000",0,3,1,0,10,12,6,2,5,6,0,13
177,112.535,37.915,"112.530000,37.910000|112.540000,37.920000",3,10,0,0,15,2,7,4,15,5,0,8
178,112.535,37.925,"112.530000,37.920000|112.540000,37.930000",4,9,1,0,27,1,11,6,12,2,0,5
179,112.535,37.935,"112.530000,37.930000|112.540000,37.940000",1,4,2,1,25,6,5,5,7,4,0,16
180,112.535,37.945,"112.530000,37.940000|112.540000,37.950000",0,1,0,0,18,0,1,3,1,0,1,1
181,112.545,37.755,"112.540000,37.750000|112.550000,37.760000",0,2,0,0,5,1,3,1,1,6,0,4
182,112.545,37.765,"112.540000,37.760000|112.550000,37.770000",10,7,0,0,42,8,27,11,18,8,0,30
183,112.545,37.775,"112.540000,37.770000|112.550000,37.780000",6,14,15,2,232,46,65,30,9,68,0,68
184,112.545,37.785,"112.540000,37.780000|112.550000,37.790000",4,15,9,0,103,26,31,11,16,24,0,51
185,112.545,37.795,"112.540000,37.790000|112.550000,37.800000",2,13,9,0,146,2,40,22,11,19,0,61
186,112.545,37.805,"112.540000,37.800000|112.550000,37.810000",8,12,7,2,165,13,40,39,12,63,0,57
187,112.545,37.815,"112.540000,37.810000|112.550000,37.820000",2,15,4,0,49,9,24,37,19,14,0,40
188,112.545,37.825,"112.540000,37.820000|112.550000,37.830000",2,16,1,0,53,9,25,17,11,13,0,44
189,112.545,37.835,"112.540000,37.830000|112.550000,37.840000",1,22,2,0,28,2,16,30,19,5,0,41
190,112.545,37.845,"112.540000,37.840000|112.550000,37.850000",3,71,6,1,267,15,48,46,89,9,0,79
191,112.545,37.855,"112.540000,37.850000|112.550000,37.860000",2,42,8,0,172,27,32,55,80,13,0,78
192,112.545,37.865,"112.540000,37.860000|112.550000,37.870000",1,86,17,0,161,25,89,55,88,15,0,84
193,112.545,37.875,"112.540000,37.870000|112.550000,37.880000",1,67,13,1,187,21,88,54,100,18,0,95
194,112.545,37.885,"112.540000,37.880000|112.550000,37.890000",7,26,9,3,149,15,52,19,64,23,0,43
195,112.545,37.895,"112.540000,37.890000|112.550000,37.900000",3,28,2,0,97,11,28,11,15,11,0,18
196,112.545,37.905,"112.540000,37.900000|112.550000,37.910000",5,12,1,0,21,4,7,7,16,0,0,10
197,112.545,37.915,"112.540000,37.910000|112.550000,37.920000",4,2,1,0,1,0,0,1,2,0,0,0
198,112.545,37.925,"112.540000,37.920000|112.550000,37.930000",0,0,1,0,0,0,0,0,0,0,0,0
199,112.545,37.935,"112.540000,37.930000|112.550000,37.940000",0,0,1,0,0,0,0,1,0,0,0,0
200,112.545,37.945,"112.540000,37.940000|112.550000,37.950000",1,0,0,0,13,4,1,1,0,2,2,4
201,112.555,37.755,"112.550000,37.750000|112.560000,37.760000",1,1,0,0,1,0,2,0,2,6,0,2
202,112.555,37.765,"112.550000,37.760000|112.560000,37.770000",1,8,1,0,26,3,26,27,0,17,0,20
203,112.555,37.775,"112.550000,37.770000|112.560000,37.780000",10,11,7,0,126,66,68,13,11,15,0,61
204,112.555,37.785,"112.550000,37.780000|112.560000,37.790000",10,11,37,0,164,53,35,36,33,18,0,127
205,112.555,37.795,"112.550000,37.790000|112.560000,37.800000",3,13,30,2,221,46,37,24,32,45,0,67
206,112.555,37.805,"112.550000,37.800000|112.560000,37.810000",10,32,27,0,255,62,38,49,43,60,0,141
207,112.555,37.815,"112.550000,37.810000|112.560000,37.820000",13,49,20,3,251,126,80,100,43,51,0,170
208,112.555,37.825,"112.550000,37.820000|112.560000,37.830000",3,69,14,7,349,84,114,62,75,109,0,145
209,112.555,37.835,"112.550000,37.830000|112.560000,37.840000",2,81,19,4,257,75,84,75,60,34,0,132
210,112.555,37.845,"112.550000,37.840000|112.560000,37.850000",1,81,26,1,139,21,87,88,99,25,0,96
211,112.555,37.855,"112.550000,37.850000|112.560000,37.860000",1,36,17,3,146,21,88,86,39,33,0,87
212,112.555,37.865,"112.550000,37.860000|112.560000,37.870000",9,75,23,3,285,50,66,68,148,34,0,159
213,112.555,37.875,"112.550000,37.870000|112.560000,37.880000",3,49,28,1,268,22,80,95,113,33,0,149
214,112.555,37.885,"112.550000,37.880000|112.560000,37.890000",0,36,3,1,166,15,83,66,32,45,0,63
215,112.555,37.895,"112.550000,37.890000|112.560000,37.900000",1,49,2,0,103,10,40,18,37,15,0,48
216,112.555,37.905,"112.550000,37.900000|112.560000,37.910000",0,3,2,0,20,4,12,7,10,2,0,8
217,112.555,37.915,"112.550000,37.910000|112.560000,37.920000",0,0,1,0,0,0,0,0,1,0,0,1
218,112.555,37.925,"112.550000,37.920000|112.560000,37.930000",1,4,3,0,53,6,15,1,8,3,0,16
219,112.555,37.935,"112.550000,37.930000|112.560000,37.940000",6,12,1,0,16,0,12,4,22,0,0,4
220,112.555,37.945,"112.550000,37.940000|112.560000,37.950000",0,1,0,0,0,0,0,2,3,0,0,5
221,112.565,37.755,"112.560000,37.750000|112.570000,37.760000",5,14,0,0,24,1,18,13,8,11,0,30
222,112.565,37.765,"112.560000,37.760000|112.570000,37.770000",2,6,1,0,58,2,24,40,12,12,0,14
223,112.565,37.775,"112.560000,37.770000|112.570000,37.780000",3,12,5,0,85,22,41,44,12,10,0,51
224,112.565,37.785,"112.560000,37.780000|112.570000,37.790000",7,9,26,3,144,64,32,33,8,53,0,78
225,112.565,37.795,"112.560000,37.790000|112.570000,37.800000",8,9,51,1,209,4,52,58,36,42,0,177
226,112.565,37.805,"112.560000,37.800000|112.570000,37.810000",7,22,29,0,174,35,68,46,31,23,0,142
227,112.565,37.815,"112.560000,37.810000|112.570000,37.820000",4,30,17,8,331,141,106,63,50,96,0,177
228,112.565,37.825,"112.560000,37.820000|112.570000,37.830000",9,54,31,8,450,122,87,106,37,284,0,162
229,112.565,37.835,"112.560000,37.830000|112.570000,37.840000",2,37,18,4,337,40,74,61,40,70,0,130
230,112.565,37.845,"112.560000,37.840000|112.570000,37.850000",3,42,9,3,191,29,54,78,68,44,0,66
231,112.565,37.855,"112.560000,37.850000|112.570000,37.860000",5,42,6,0,68,13,26,42,43,5,0,41
232,112.565,37.865,"112.560000,37.860000|112.570000,37.870000",0,47,34,15,450,143,65,71,101,246,0,144
233,112.565,37.875,"112.560000,37.870000|112.570000,37.880000",4,48,16,1,302,49,84,140,103,71,0,118
234,112.565,37.885,"112.560000,37.880000|112.570000,37.890000",3,54,13,6,297,31,117,67,73,64,0,97
235,112.565,37.895,"112.560000,37.890000|112.570000,37.900000",7,24,4,0,182,1,62,43,33,29,0,44
236,112.565,37.905,"112.560000,37.900000|112.570000,37.910000",2,16,4,2,38,9,20,15,19,13,0,34
237,112.565,37.915,"112.560000,37.910000|112.570000,37.920000",7,29,1,5,143,15,55,27,43,26,0,45
238,112.565,37.925,"112.560000,37.920000|112.570000,37.930000",5,22,0,0,33,1,24,10,25,4,1,25
239,112.565,37.935,"112.560000,37.930000|112.570000,37.940000",0,5,0,0,9,0,3,4,7,2,0,7
240,112.565,37.945,"112.560000,37.940000|112.570000,37.950000",2,1,0,0,2,0,0,1,1,1,0,2
241,112.575,37.755,"112.570000,37.750000|112.580000,37.760000",3,3,1,1,166,6,29,23,8,25,0,28
242,112.575,37.765,"112.570000,37.760000|112.580000,37.770000",0,0,0,0,24,2,0,7,6,4,0,5
243,112.575,37.775,"112.570000,37.770000|112.580000,37.780000",0,7,5,0,24,26,9,9,11,11,0,26
244,112.575,37.785,"112.570000,37.780000|112.580000,37.790000",9,29,6,1,340,52,99,80,11,89,0,94
245,112.575,37.795,"112.570000,37.790000|112.580000,37.800000",6,35,7,0,186,25,74,59,32,45,0,92
246,112.575,37.805,"112.570000,37.800000|112.580000,37.810000",8,34,3,1,140,15,59,59,20,19,0,45
247,112.575,37.815,"112.570000,37.810000|112.580000,37.820000",2,24,2,0,33,7,20,27,19,12,0,45
248,112.575,37.825,"112.570000,37.820000|112.580000,37.830000",3,51,20,0,292,34,105,47,27,69,0,122
249,112.575,37.835,"112.570000,37.830000|112.580000,37.840000",9,65,21,0,338,31,105,42,42,61,0,131
250,112.575,37.845,"112.570000,37.840000|112.580000,37.850000",2,50,10,1,154,44,97,49,31,29,0,86
251,112.575,37.855,"112.570000,37.850000|112.580000,37.860000",3,53,22,1,324,59,109,56,59,45,0,141
252,112.575,37.865,"112.570000,37.860000|112.580000,37.870000",4,41,14,6,308,50,82,73,71,74,0,109
253,112.575,37.875,"112.570000,37.870000|112.580000,37.880000",2,76,17,0,316,41,147,65,91,13,0,138
254,112.575,37.885,"112.570000,37.880000|112.580000,37.890000",5,40,5,0,120,26,48,25,63,30,0,55
255,112.575,37.895,"112.570000,37.890000|112.580000,37.900000",3,26,6,1,149,2,22,17,46,21,0,62
256,112.575,37.905,"112.570000,37.900000|112.580000,37.910000",7,18,1,0,48,2,21,10,9,4,0,16
257,112.575,37.915,"112.570000,37.910000|112.580000,37.920000",6,22,1,0,109,6,47,20,40,8,0,9
258,112.575,37.925,"112.570000,37.920000|112.580000,37.930000",7,14,0,1,29,3,6,9,11,4,0,9
259,112.575,37.935,"112.570000,37.930000|112.580000,37.940000",0,11,0,0,9,0,2,5,6,1,0,4
260,112.575,37.945,"112.570000,37.940000|112.580000,37.950000",1,1,0,0,16,0,3,3,6,1,0,2
261,112.585,37.755,"112.580000,37.750000|112.590000,37.760000",9,7,0,0,64,5,23,18,6,15,0,25
262,112.585,37.765,"112.580000,37.760000|112.590000,37.770000",2,1,0,0,40,7,4,18,2,6,0,4
263,112.585,37.775,"112.580000,37.770000|112.590000,37.780000",3,13,6,0,66,1,21,24,37,22,0,47
264,112.585,37.785,"112.580000,37.780000|112.590000,37.790000",5,12,4,0,268,58,37,36,15,28,0,57
